year,driver,constructor,fastestLapSpeed,fastestLapTime
2004,Juan Pablo Montoya,Williams,211.782,1:34.223
2005,Kimi Räikkönen,McLaren,208.987,1:35.126
2006,Fernando Alonso,Renault,210.487,1:36.241
2007,Lewis Hamilton,McLaren,206.355,1:37.598
2008,Nick Heidfeld,BMW Sauber,209.244,1:35.366
2009,Jenson Button,Brawn,206.483,1:36.641
2010,Mark Webber,Red Bull,205.605,1:37.054
2011,Mark Webber,Red Bull,198.415,1:40.571
2012,Kimi Räikkönen,Lotus F1,198.117,1:40.722
2013,Sergio Pérez,McLaren,201.159,1:39.199
2014,Lewis Hamilton,Mercedes,193.611,1:43.066
2015,Nico Rosberg,Mercedes,195.516,1:42.062
2016,Nico Rosberg,Mercedes,206.948,1:35.548
2017,Sebastian Vettel,Ferrari,212.104,1:34.080
